molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3678593,active,6.29073003902417,O=C(c1nn(C2CCC(O)CC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,431.51400000000024,1.7858,1.0,6.0
CHEMBL3678678,active,6.441291429466834,O=C(c1nn(C2CCCC(C(=O)N3CCCCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,526.6590000000002,3.053600000000002,0.0,6.0
CHEMBL3678679,active,6.376750709602099,O=C(c1nn(C2CCCC(C(=O)N3CCOCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,528.6310000000002,1.8998999999999997,0.0,7.0
CHEMBL3678582,active,6.688246138944246,O=C(c1nn(C2CCCC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,401.48800000000017,2.4249,0.0,5.0
CHEMBL3678614,active,6.1605219526258015,O=C(c1nn(C2CCCCC2)c2c1CS(=O)(=O)c1cc(Br)ccc1-2)N1CCOCC1,494.41100000000023,3.5775000000000023,0.0,5.0
CHEMBL3678523,active,6.866461091629782,O=C(c1nn(C2CCCCC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,415.5150000000002,2.8150000000000013,0.0,5.0
CHEMBL3678691,active,6.673664139071248,O=C(c1nn(C2CCCCC2)c2c1CS(=O)(=O)c1ccsc1-2)N1CCOCC1,421.5440000000002,2.876500000000002,0.0,6.0
CHEMBL3678587,active,6.359518563029578,O=C(c1nn(C2CCCCC2)c2c1CS(=O)(=O)c1ncccc1-2)N1CCOCC1,416.5030000000002,2.21,0.0,6.0
CHEMBL3678686,active,6.519993057042849,O=C(c1nn(C2CCCCC2)c2c1CS(=O)(=O)c1sccc1-2)N1CCOCC1,421.5440000000002,2.876500000000002,0.0,6.0
CHEMBL3678586,active,6.328827157284917,O=C(c1nn(C2CCCCCC2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,429.5420000000002,3.2051000000000016,0.0,5.0
CHEMBL3683543,active,6.5951662833800615,O=C(c1nn(C2CCCN(C3CCOCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,500.6210000000003,2.1257,0.0,7.0
CHEMBL3683643,active,7.173925197299173,O=C(c1nn(C2CCCN(C3COC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,472.56700000000023,1.3454999999999995,0.0,7.0
CHEMBL3683632,active,7.6777807052660805,O=C(c1nn(C2CCCN(CC3CCOC3)C2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,518.6110000000002,2.1223,0.0,7.0
CHEMBL3683515,active,7.008773924307505,O=C(c1nn(C2CCCN(CC3CCOC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,500.6210000000003,1.9831999999999996,0.0,7.0
CHEMBL3683555,active,7.958607314841775,O=C(c1nn(C2CCCN(CC3CCOCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,514.6480000000003,2.3733000000000004,0.0,7.0
